# {"t_start": 1703810166.6815462, "env_id": null} 
r,l,t
-1600349.5,5879,189.491831
-1152585.0,9335,514.314039
-1628546.25,8392,802.434137
-1246101.0,6661,1036.217536
-1371703.0,6354,1260.824429
212296.25,4815,1435.76167
254300.5,7523,1693.822839
-824957.25,6129,1932.03907
-767524.0,8392,2239.329599
195567.0,10000,2561.6954
-751168.75,4507,2721.440829
-1212199.25,7130,2962.017393
66617.0,10000,3283.940017
-1904448.0,5088,3471.490931
-656909.75,8331,3765.977092
-488673.25,6186,3994.571818
-125161.25,10000,4350.267199
-1802113.5,7174,4584.731546
-475790.5,4729,4742.841878
-700470.75,7978,5022.580367
-123865.0,5428,5232.394501
-1015273.75,6526,5474.475017
-260455.5,9357,5798.734662
1098307.25,8820,6101.502926
-431777.5,7483,6363.251626
-1847006.25,7652,6618.405215
-617070.0,5065,6791.0886
-1332837.75,5509,6979.289557
-810176.75,4711,7141.467308
-1659400.75,8714,7428.904592
411565.5,4961,7596.783547
-1293314.5,5154,7765.458678
-1788907.0,6933,7994.959231
638156.0,4837,8156.474987
-705207.75,5433,8336.883898
-1001231.25,4610,8492.837665
-1452283.75,9908,8814.113709
-931392.5,7037,9048.668102
-519363.5,7737,9303.728533
-1462701.0,9596,9616.238597
295413.75,7840,9873.31458
-755379.5,7139,10116.843771
-676253.75,6983,10348.765945
279189.0,6240,10549.739965
-727331.0,5731,10743.72775
-971569.5,4662,10903.195674
-447361.25,7641,11153.141552
-1124725.0,5076,11313.918597
1380464.5,10000,11624.013249
317584.75,10000,11943.942326
-1005103.0,6912,12236.796962
-2501562.75,5374,12418.242659
344185.0,8751,12712.344929
-328589.0,4174,12855.919195
212831.25,9452,13189.79914
-1119245.5,5620,13395.961123
-1484826.75,8326,13688.924673
-487873.75,5856,13896.734583
-1330680.25,7236,14155.826803
-1372213.0,7107,14415.781205
-721605.0,8924,14747.875447
-925501.25,7651,15006.035043
709862.0,7137,15245.134627
-1280847.25,4907,15416.102004
-606494.5,8789,15724.511277
-1691198.25,5437,15919.73737
311973.25,8205,16217.22192
-524180.25,6922,16456.892409
-591197.25,4906,16624.648565
-1380592.0,6291,16837.521217
-347091.25,7944,17115.089769
-1788404.0,4286,17353.014878
-1777496.25,7883,17630.249864
536763.75,7925,17909.786657
-1781686.25,7861,18186.387218
-1545491.5,6209,18472.968217
-702500.25,6695,18869.932039
-840713.75,10000,19378.661414
-133403.5,7558,19850.947234
-67315.5,5345,20171.961505
-634328.0,7205,20599.913419
-130866.75,4308,20849.017825
-920836.0,5902,21054.885049
-243656.25,7692,21317.58377
-1556453.5,7796,21582.352304
-330159.25,7417,21838.776364
-887749.75,6514,22056.737444
-768376.0,9370,22369.277835
-1400452.25,5282,22548.872428
-1509425.25,6885,22777.3839
-1194795.75,8508,23061.570877
-934567.25,8599,23341.46384
-314010.0,9081,23638.968095
-439062.25,4899,23802.431459
-1025212.25,4932,23968.746134
-786950.25,7155,24207.163531
104762.75,8506,24488.42606
-674910.75,7275,24725.796216
-754122.25,8665,25012.14936
-504629.0,8051,25275.861851
-1005378.0,7352,25517.058912
-689212.5,6934,25743.49391
-174310.25,7177,25983.37918
-1621940.0,4788,26143.064409
-374342.75,5021,26310.005411
-1468388.25,5670,26501.484211
-143178.5,7803,26758.178912
-1037628.5,7874,27016.867098
-1047517.75,9010,27318.555082
-241445.0,8777,27602.912906
268498.75,7977,27871.697608
-333707.5,6793,28093.945677
-183013.5,7373,28339.945128
-1493964.75,6734,28563.269467
-636577.25,8257,28831.668761
-1161060.0,8611,29111.630157
247885.75,5943,29306.623485
-265476.5,5933,29502.781234
-783704.5,8054,29764.9255
-919923.0,7291,30003.287843
-1316490.0,5114,30171.938707
-712903.25,6803,30396.267157
-641835.0,7933,30655.475224
-427482.25,8579,30935.52852
-143168.0,7092,31163.25203
-1335914.25,4874,31328.359761
-1139548.25,5645,31510.663444
-782882.75,8998,31804.884822
-1946793.75,6066,32003.689944
122579.25,8333,32270.748297
-1360895.0,5231,32438.896937
-551446.0,5708,32630.19431
-960945.75,7251,32862.736052
-2131753.25,5610,33048.696249
-1102923.0,7042,33278.175535
-409346.25,7754,33530.709595
-413510.0,4995,33702.199368
-353148.5,7445,33944.739646
-1387637.25,4982,34111.128151
595798.75,7698,34361.345434
-962906.0,7209,34595.231128
-324346.5,6211,34794.507953
-1115602.5,6779,35014.656154
-1194553.0,7256,35254.633591
-609889.75,6282,35457.144233
-1818970.5,5548,35638.631428
-1432488.75,4696,35794.524674
-1435475.25,7014,36021.07337
-456429.0,4233,36164.532386
29030.0,8706,36444.55577
-949662.25,8561,36718.064958
-496518.5,7730,36973.661976
-720627.5,6704,37191.415462
-2123111.75,8267,37460.506053
-1404150.5,9104,37749.881392
-1409323.0,7161,37987.697602
-349675.75,4495,38137.942751
-1045428.25,5538,38313.213854
115230.0,8770,38603.252218
-967297.0,6223,38806.537779
-1015809.75,6738,39025.130188
-870414.0,7785,39276.413603
-1330748.75,6110,39474.716958
-560489.0,8001,39733.178809
-239210.75,7125,39964.767281
-323461.25,7746,40218.094184
-1446791.25,7593,40464.510827
-1226593.5,7474,40705.281466
-2301406.75,8225,40967.647296
437516.5,7653,41215.910168
-1244060.25,6915,41437.272813
-299612.75,5179,41608.34749
-909101.25,6269,41809.743646
-1189829.5,8682,42089.175031
-1477087.5,6956,42314.193455
-1084621.0,5620,42491.897285
-719726.25,7770,42747.112243
-2030258.75,6072,42944.942625
-1462603.0,7272,43181.743202
-596483.0,5878,43373.820142
422640.0,4966,43536.867548
-626574.25,6143,43739.425787
-866613.0,7141,43970.269435
583619.75,7033,44200.905224
-989056.75,8013,44459.614769
-1218919.25,6366,44660.760614
-1201517.75,5155,44826.687943
-1608250.75,7169,45059.402237
-836436.25,7939,45312.03488
-1543981.75,8085,45568.736529
-935550.75,7472,45807.111439
-1844601.25,8028,46067.617351
-1450697.0,6445,46272.374518
-173758.25,5380,46445.111251
-67233.25,5723,46630.970811
-515273.75,6153,46829.08796
177184.0,5717,47010.377006
-891230.75,7581,47259.74611
-1337421.25,7638,47502.480627
-1346784.5,8580,47775.006709
-779214.5,8706,48047.40783
-628413.5,7572,48291.590795
-633650.0,5284,48466.733528
-1549267.75,5218,48633.78144
-563731.75,4283,48772.706414
-1003082.25,8398,49040.620935
-1424387.25,8938,49335.713481
-255482.5,6762,49550.970544
105513.75,7628,49795.590889
-1508646.0,9326,50094.487621
64964.75,6883,50315.036011
-1535897.75,5299,50485.327319
-1314182.75,5060,50649.682414
-368737.0,6491,50861.43651
-1883265.75,7450,51103.138163
-510924.0,7846,51353.783548
-302183.75,6113,51557.379385
-1857426.5,6197,51761.725901
-1040617.75,7457,52004.181357
-1505818.5,7487,52246.884377
239706.5,7313,52485.355528
-1228634.0,7851,52740.135063
-1038982.75,8645,53025.409071
-415676.5,6108,53225.830956
-557806.25,7910,53482.480119
-892603.75,6107,53683.325848
